|,|__city,|__theater,|__zip,|__critic_rating,|__genre,|__state,|__starttime,|__date,|__moviename,|__other,|__mpaa_rating,|__numberofkids,|__theater_chain,|__video_format,|__distanceconstraints,|__actor,|__price,|__actress
0L,hamilton,manville 12 plex,8835,good,comedy,nj,10:30am,tomorrow,zootopia,,,,,,,,,
1L,manville,manville 12 plex,8835,good,comedy,nj,10:30am,tomorrow,zootopia,,,,,,,,,
2L,bridgewater,manville 12 plex,8835,good,comedy,nj,10:30am,tomorrow,zootopia,,,,,,,,,
3L,hamilton,amc dine-in theatres bridgewater 7,8835,good,comedy,nj,10:30am,tomorrow,zootopia,,,,,,,,,
4L,manville,amc dine-in theatres bridgewater 7,8835,good,comedy,nj,10:30am,tomorrow,zootopia,,,,,,,,,
5L,seattle,every single theatre,98004,,,washington,,this weekend,kung fu panda 3,not available,pg,,,,,,,
6L,bellevue,every single theatre,98004,,,washington,,this weekend,kung fu panda 3,not available,pg,,,,,,,
7L,seattle,bellevue lincoln square cinemas,98004,,,washington,,this weekend,kung fu panda 3,not available,pg,,,,,,,
8L,bellevue,bellevue lincoln square cinemas,98004,,,washington,,this weekend,kung fu panda 3,not available,pg,,,,,,,
9L,seattle,regal meridian 16,98004,,,washington,,this weekend,kung fu panda 3,not available,pg,,,,,,,
10L,seattle,regal meridian 16,98101,,,wa,6:30pm,tonight,zootopia,movie assistant number,,two,regal meridian,,,,,
11L,bellevue,regal meridian 16,98101,,,wa,6:30pm,tonight,zootopia,movie assistant number,,two,regal meridian,,,,,
12L,seattle,bellevue lincoln square cinemas,98101,,,wa,6:30pm,tonight,zootopia,movie assistant number,,two,regal meridian,,,,,
13L,bellevue,bellevue lincoln square cinemas,98101,,,wa,6:30pm,tonight,zootopia,movie assistant number,,two,regal meridian,,,,,
14L,seattle,regal meridian,98101,,,wa,6:30pm,tonight,zootopia,movie assistant number,,two,regal meridian,,,,,
15L,birmingham,carmike summit 16,,,,al,around 2pm,today,zootopia,,,,,,,,,
16L,birmingham,carmike summit,,,,al,around 2pm,today,zootopia,,,,,,,,,
17L,birmingham,carmike summit 16,,,,al,1:30,today,zootopia,,,,,,,,,
